Source,HelpTopic,KYC,ResolutionDurationMins,TimeOfDayOpened,Sentiment,DayOfWeekNum
0,0,0,60580.0,9.0,0,4
0,0,0,0.0,17.0,0,4
0,0,0,0.0,17.0,1,4
0,0,0,0.0,17.0,0,4
0,0,0,0.0,17.0,0,4
0,0,0,0.0,17.0,0,4
0,0,0,0.0,17.0,1,4
0,0,2,300.0,12.0,0,4
0,0,0,0.0,17.0,1,4
0,0,0,60580.0,9.0,2,4
0,0,0,0.0,17.0,2,4
0,0,0,22.0,11.0,2,5
0,4,1,28702.33333333333,14.0,0,5
0,10,1,21.0,18.0,0,5
0,0,0,227.0,11.0,2,5
0,0,0,227.0,11.0,1,5
0,0,0,22.0,11.0,0,5
0,0,0,22.0,11.0,2,5
0,10,1,21.0,18.0,0,5
0,10,1,21.0,18.0,0,5
0,0,0,2.0,11.0,0,5
0,0,2,42641.0,20.0,0,5
0,0,0,22.0,11.0,1,5
0,0,0,2.0,11.0,1,5
0,0,0,53.0,12.0,0,5
0,0,0,2.0,11.0,2,5
1,7,1,49225.46666666667,14.0,0,5
0,0,0,53.0,12.0,0,5
0,0,0,14.0,15.0,2,5
0,0,0,14.0,15.0,1,5
1,7,1,49225.46666666667,14.0,0,5
0,0,0,14.0,15.0,1,5
0,0,0,227.0,11.0,0,5
0,0,0,338.0,11.0,2,5
0,0,0,338.0,11.0,0,5
0,0,0,14.0,15.0,2,5
0,0,0,53.0,12.0,2,5
0,0,0,66.0,14.0,0,6
0,0,0,66.0,14.0,2,6
0,0,0,66.0,14.0,1,6
0,0,0,66.0,14.0,2,6
0,0,0,28.0,11.0,2,6
0,0,0,42710.0,20.0,0,6
0,0,0,28.0,11.0,0,6
0,0,0,28.0,11.0,1,6
0,0,0,487.0,10.0,0,6
0,0,0,487.0,10.0,0,6
0,0,0,109.0,15.0,2,6
0,0,0,109.0,15.0,1,6
0,0,0,109.0,15.0,2,6
0,0,0,109.0,15.0,2,6
0,0,0,109.0,15.0,1,6
0,0,0,109.0,15.0,2,6
0,0,0,109.0,15.0,2,6
0,0,0,109.0,15.0,1,6
0,0,0,118.0,14.0,0,6
0,0,0,118.0,14.0,1,6
0,0,0,42710.0,20.0,1,6
0,0,2,42710.0,20.0,0,6
0,0,0,42710.0,20.0,0,6
0,0,0,42710.0,20.0,2,6
0,0,0,118.0,14.0,1,6
0,0,0,42967.0,16.0,2,7
0,0,2,110.0,10.0,0,7
0,0,0,42967.0,16.0,1,7
0,0,0,42967.0,16.0,2,7
0,0,0,42967.0,16.0,2,7
0,0,0,180.0,18.0,1,7
0,0,0,180.0,18.0,0,7
0,0,0,180.0,18.0,2,7
0,0,0,110.0,10.0,2,7
0,0,2,110.0,10.0,0,7
0,0,0,32.0,10.0,1,7
0,0,0,32.0,10.0,1,7
0,10,1,41.0,18.0,0,7
0,0,0,32.0,10.0,1,7
0,0,0,180.0,18.0,1,7
0,0,0,32.0,10.0,1,7
