Source,HelpTopic,KYC,ResolutionDurationMins,TimeOfDayOpened,Sentiment,DayOfWeekNum
Web,Access Requests,N,87650.0,22.0,,4
Email,Access Requests,N,117.0,10.0,POSITIVE,4
Email,Access Requests,N,117.0,10.0,NEGATIVE,4
Email,Access Requests,N,117.0,10.0,POSITIVE,4
Email,Access Requests,N,117.0,10.0,,4
Email,Hardware Issue,YY,5840.35,11.0,NEGATIVE,4
Email,Access Requests,N,133.0,14.0,NEGATIVE,4
Email,Access Requests,N,0.0,17.0,POSITIVE,4
Email,Access Requests,N,133.0,14.0,POSITIVE,4
Web,Network & Wireless,YY,434.0,11.0,NEGATIVE,4
Email,Accessories,N,1507.0,12.0,NEGATIVE,4
Email,Accessories,N,1507.0,12.0,NEGATIVE,4
Email,Accessories,N,1507.0,12.0,NEGATIVE,4
Email,Accessories,N,1507.0,12.0,NEGATIVE,4
Email,Accessories,N,1507.0,12.0,POSITIVE,4
Email,Access Requests,N,21.0,12.0,,4
Email,Access Requests,N,21.0,12.0,POSITIVE,4
Email,Access Requests,YYY,5.0,11.0,POSITIVE,4
Email,Access Requests,YYY,107.0,12.0,NEGATIVE,4
Email,Access Requests,YYY,300.0,12.0,NEGATIVE,4
Email,Access Requests,YYY,5.0,11.0,NEGATIVE,4
Email,Access Requests,YYY,21.0,12.0,NEGATIVE,4
Email,Access Requests,YYY,5.0,11.0,NEGATIVE,4
Email,Access Requests,N,5.0,11.0,NEGATIVE,4
Email,Access Requests,N,5.0,11.0,POSITIVE,4
Email,Access Requests,N,5.0,11.0,,4
Email,Network & Wireless,YY,1411.0,13.0,NEGATIVE,4
Email,Access Requests,N,60580.0,9.0,NEGATIVE,4
Email,Access Requests,N,0.0,17.0,NEGATIVE,4
Email,Access Requests,N,0.0,17.0,,4
Email,Access Requests,N,0.0,17.0,NEGATIVE,4
Email,Access Requests,N,0.0,17.0,NEGATIVE,4
Email,Access Requests,N,0.0,17.0,NEGATIVE,4
Email,Access Requests,N,0.0,17.0,,4
Email,Access Requests,YYY,300.0,12.0,NEGATIVE,4
Email,Access Requests,N,0.0,17.0,,4
Email,Access Requests,N,60580.0,9.0,POSITIVE,4
Email,Access Requests,N,0.0,17.0,POSITIVE,4
Email,Access Requests,N,22.0,11.0,POSITIVE,5
Email,Data Center Services /VM Request,YY,28702.333333333332,14.0,NEGATIVE,5
Email,Network & Wireless,YY,21.0,18.0,NEGATIVE,5
Email,Access Requests,N,227.0,11.0,POSITIVE,5
Email,Access Requests,N,227.0,11.0,,5
Email,Access Requests,N,22.0,11.0,NEGATIVE,5
Email,Access Requests,N,22.0,11.0,POSITIVE,5
Email,Network & Wireless,YY,21.0,18.0,NEGATIVE,5
Email,Network & Wireless,YY,21.0,18.0,NEGATIVE,5
Email,Access Requests,N,2.0,11.0,NEGATIVE,5
Email,Access Requests,YYY,42641.0,20.0,NEGATIVE,5
Email,Access Requests,N,22.0,11.0,,5
Email,Access Requests,N,2.0,11.0,,5
Email,Access Requests,N,53.0,12.0,NEGATIVE,5
Email,Access Requests,N,2.0,11.0,POSITIVE,5
Web,Hardware Issue,YY,49225.46666666667,14.0,NEGATIVE,5
Email,Access Requests,N,53.0,12.0,NEGATIVE,5
Email,Access Requests,N,14.0,15.0,POSITIVE,5
Email,Access Requests,N,14.0,15.0,,5
Web,Hardware Issue,YY,49225.46666666667,14.0,NEGATIVE,5
Email,Access Requests,N,14.0,15.0,,5
Email,Access Requests,N,227.0,11.0,NEGATIVE,5
Email,Access Requests,N,338.0,11.0,POSITIVE,5
Email,Access Requests,N,338.0,11.0,NEGATIVE,5
Email,Access Requests,N,14.0,15.0,POSITIVE,5
Email,Access Requests,N,53.0,12.0,POSITIVE,5
Email,Access Requests,N,66.0,14.0,NEGATIVE,6
Email,Access Requests,N,66.0,14.0,POSITIVE,6
Email,Access Requests,N,66.0,14.0,,6
Email,Access Requests,N,66.0,14.0,POSITIVE,6
Email,Access Requests,N,28.0,11.0,POSITIVE,6
Email,Access Requests,N,42710.0,20.0,NEGATIVE,6
Email,Access Requests,N,28.0,11.0,NEGATIVE,6
Email,Access Requests,N,28.0,11.0,,6
Email,Access Requests,N,487.0,10.0,NEGATIVE,6
Email,Access Requests,N,487.0,10.0,NEGATIVE,6
Email,Access Requests,N,109.0,15.0,POSITIVE,6
Email,Access Requests,N,109.0,15.0,,6
Email,Access Requests,N,109.0,15.0,POSITIVE,6
Email,Access Requests,N,109.0,15.0,POSITIVE,6
Email,Access Requests,N,109.0,15.0,,6
Email,Access Requests,N,109.0,15.0,POSITIVE,6
Email,Access Requests,N,109.0,15.0,POSITIVE,6
Email,Access Requests,N,109.0,15.0,,6
Email,Access Requests,N,118.0,14.0,NEGATIVE,6
Email,Access Requests,N,118.0,14.0,,6
Email,Access Requests,N,42710.0,20.0,,6
Email,Access Requests,YYY,42710.0,20.0,NEGATIVE,6
Email,Access Requests,N,42710.0,20.0,NEGATIVE,6
Email,Access Requests,N,42710.0,20.0,POSITIVE,6
Email,Access Requests,N,118.0,14.0,,6
Email,Access Requests,N,42967.0,16.0,POSITIVE,7
Email,Access Requests,YYY,110.0,10.0,NEGATIVE,7
Email,Access Requests,N,42967.0,16.0,,7
Email,Access Requests,N,42967.0,16.0,POSITIVE,7
Email,Access Requests,N,42967.0,16.0,POSITIVE,7
Email,Access Requests,N,180.0,18.0,,7
Email,Access Requests,N,180.0,18.0,NEGATIVE,7
Email,Access Requests,N,180.0,18.0,POSITIVE,7
Email,Access Requests,N,110.0,10.0,POSITIVE,7
Email,Access Requests,YYY,110.0,10.0,NEGATIVE,7
Email,Access Requests,N,32.0,10.0,,7
Email,Access Requests,N,32.0,10.0,,7
Email,Network & Wireless,YY,41.0,18.0,NEGATIVE,7
Email,Access Requests,N,32.0,10.0,,7
Email,Access Requests,N,180.0,18.0,,7
Email,Access Requests,N,32.0,10.0,,7
